objectid,filename,title,creator,description,date,date_is_approximate,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pleiades0027,mg025_bx2_folder30-007.jpg,Letter from Marget Neale,Marget Neale,Letter addressing the Pleiades Club's rememberance of former member Margaret Neale.,undated,,correspondence;women;womensclubs,"Moscow, Idaho",46.73338659,-116.9964506,"Pleiades Club records, 1892-2018",mg025_bx2_folder30-007,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0028,mg025_bx2_folder31-001.jpg,Award of Merit,Idaho Federation of Women's Clubs,Award of Merit presented to the Pleiades Club for a 100% voting record.,5/6/1959,no,certificate;womensclubs;women;award,"Moscow, Idaho",46.73338659,-116.9964506,"Pleiades Club records, 1892-2018",mg025_bx2_folder31-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0029,mg025_bx2_folder31-002.jpg,Good Citizenship Award,I.F.W.C. President Barr,Certificate to the Pleiades Club for 100% voting record in the 1950 State Election,1950,yes,certificate;womensclubs;women;award,"Moscow, Idaho",46.73338659,-116.9964506,"Pleiades Club records, 1892-2018",mg025_bx2_folder31-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0030,mg025_bx2_folder31-003.jpg,Diamond Jubilee Service Certificate,Harold Miner and Frank L. Goffio,Service certificate presented to the Pleiades Moscow Women's Club for outstnaging support of the GFWC-CARE Vocational Training Program.,1964-1966,yes,certificate;womensclubs;women;award,"Moscow, Idaho",46.73338659,-116.9964506,"Pleiades Club records, 1892-2018",mg025_bx2_folder31-003,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0031,mg025_bx2_folder31-004.jpg,Certificate of Award,Mary C. McHargue and Linda Osburn,Certificate presented to the Pleiades Club for being one of the first federated clubs in Idaho.,11/22/1972,no,certificate;womensclubs;women;award,"Moscow, Idaho",46.73338659,-116.9964506,"Pleiades Club records, 1892-2018",mg025_bx2_folder31-004,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0032,mg025_bx2_folder31-005.jpg,Citation for Dedicated Service,Mabel S. Prout and President Worthy,Service recognition for the Pleiades Club supporting a better community participant in the 1956-1958 Community Achievement Contest.,1956-1958,yes,certificate;womensclubs;women;award,"Moscow, Idaho",46.73338659,-116.9964506,"Pleiades Club records, 1892-2018",mg025_bx2_folder31-005,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0033,mg025_bx2_folder31-006.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder31-006,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0034,mg025_bx2_folder32-001.jpg,Moscow Women Are Active in Civic Progress,The Spokesman-Review,"Newspaper article about the Pleiades Club, its formal organization, achievements, and particpating members.",5/7/1922,no,newspaper;womensclub;women,"Spokane, Washington",47.67468412,-117.4769779,"Pleiades Club records, 1892-2018",mg025_bx2_folder32-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0035,mg025_bx2_folder32-002.jpg,Community Involvement is Important If Libraries are to be Successful,Bonnie O'Neil,Newspaper article from the Idahonian by Bonnie O'Neil about the importance of community participation in public libraries.,10/5/1971,no,newspaper;womensclub;women,"Moscow, Idaho",46.73192114,-116.9943224,"Pleiades Club records, 1892-2018",mg025_bx2_folder32-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0036,mg025_bx2_folder32-003.jpg,Florence Chrisman Obituary,,"Florence Chrisman obituary, sharing her involvement in the Pleiades Club as oldest member as of 1952.",1952,yes,womensclubs;women,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder32-003,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0037,mg025_bx2_folder32-004.jpg,Mourine Anduiza,The Idahonian,"Article about Mourine Anduzia being selected as an Outstadning Young Women of America. Anduzia was nominated by the Pleiades Club and Beta Sigma Phi of Genesee, Idaho.",10/3/1972,no,newspaper;womensclub;women,"Moscow, Idaho",46.73192114,-116.9943224,"Pleiades Club records, 1892-2018",mg025_bx2_folder32-004,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0038,mg025_bx2_folder33-001.jpg,Pleiades Members,,"Mrs. Gault, Mrs. Chrisman, Mrs. Fox, Mrs. Henderson, Mrs. Ostrander, Mrs. McCurdy, Mrs. Aldrich, and Millicent Carter Bonebright. All members but Chrisman was Pleiades charter members. Chrisman came to Moscow with her husband March 9, 1895.",1897,yes,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0039,mg025_bx2_folder33-002.jpg,Pleiades Members,,"Mrs. Gault, Mrs. Chrisman, Mrs. Fox, Mrs. Henderson, Mrs. Ostrander, Mrs. McCurdy, Mrs. Aldrich, Millicent Caret Bonebright, Harriet E. Cushman, and Sara Ellen Poe.",,,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0040,mg025_bx2_folder33-003.jpg,Pleiades Members,,Betty Harvey and Judy Marineau.,1989,yes,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-003,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0041,mg025_bx2_folder33-004.jpg,Pleiades Members,,Larua Menard and Fae Gagon.,1989,yes,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-004,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0042,mg025_bx2_folder33-005.jpg,Mrs. J. H. Forney,,Portrait of Mary E. Forney.,undated,,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-005,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0043,mg025_bx2_folder33-006.jpg,Polly Eldridge,,Portrait of Polly Eldridge.,undated,,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-006,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0044,mg025_bx2_folder33-007.jpg,Mrs. James A. Mac Lean,,Portrait of Mrs. James A. Mac Lean.,undated,,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-007,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0045,mg025_bx2_folder33-008.jpg,Pleiades Members,,"Kathryn Truitt, Alice von Ende, Florence E. Parsons, Mrs. Barrows, Emma Little, Gertrude M. Hulme, Mary McClintock Upham, Henrietta Lewis, Gertrude B. Axtell, and Polly Eldridge. Photo taken in Mrs. Little's yard.",1921,yes,womensclubs;women;photographs,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder33-008,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
